ID,M,Class
QIAN880127,,Hydrophobicity
QIAN880128,,Hydrophobicity
QIAN880129,,Alpha and turn propensities
QIAN880130,1,Turn propensity
QIAN880131,,Alpha and turn propensities
QIAN880132,,Alpha and turn propensities
QIAN880133,,Alpha and turn propensities
QIAN880134,,Alpha and turn propensities
QIAN880135,,Alpha and turn propensities
QIAN880136,,Alpha and turn propensities
QIAN880137,,Alpha and turn propensities
QIAN880138,,Alpha and turn propensities
QIAN880139,,Alpha and turn propensities
RACS770101,,Hydrophobicity
RACS770102,,Hydrophobicity
RACS770103,,Hydrophobicity
RACS820101,,Hydrophobicity
RACS820102,,Other properties
RACS820103,,Hydrophobicity
RACS820104,1,Turn propensity
RACS820105,,Composition
RACS820106,,Other properties
RACS820107,,Other properties
RACS820108,,Alpha and turn propensities
RACS820109,,Other properties
RACS820110,,Alpha and turn propensities
RACS820111,,Beta propensity
RACS820112,,Alpha and turn propensities
RACS820113,,Other properties
RACS820114,,Alpha and turn propensities
RADA880101,,Hydrophobicity
RADA880102,,Hydrophobicity
RADA880103,,Physicochemical properties
RADA880104,,Hydrophobicity
RADA880105,,Hydrophobicity
RADA880106,,Physicochemical properties
RADA880107,,Hydrophobicity
RADA880108,,Hydrophobicity
RICJ880101,,Other properties
RICJ880102,,Other properties
RICJ880103,,Other properties
RICJ880104,,Hydrophobicity
RICJ880105,,Hydrophobicity
RICJ880106,,Hydrophobicity
RICJ880107,,Alpha and turn propensities
RICJ880108,,Hydrophobicity
RICJ880109,1,Alpha propensity
RICJ880110,1,Alpha propensity
RICJ880111,,Hydrophobicity
RICJ880112,,Alpha and turn propensities
RICJ880113,,Alpha and turn propensities
RICJ880114,,Alpha and turn propensities
RICJ880115,,Other properties
RICJ880116,,Alpha and turn propensities
RICJ880117,,Alpha and turn propensities
ROBB760101,,Alpha and turn propensities
ROBB760102,,Hydrophobicity
ROBB760103,,Alpha and turn propensities
ROBB760104,,Alpha and turn propensities
ROBB760105,,Beta propensity
ROBB760106,,Beta propensity
ROBB760107,,Alpha and turn propensities
ROBB760108,1,Turn propensity
ROBB760109,,Alpha and turn propensities
ROBB760110,1,Turn propensity
ROBB760111,1,Turn propensity
ROBB760112,,Alpha and turn propensities
ROBB760113,,Alpha and turn propensities
ROBB790101,,Hydrophobicity
ROSG850101,,Physicochemical properties
ROSG850102,,Hydrophobicity
ROSM880101,,Hydrophobicity
ROSM880102,,Hydrophobicity
ROSM880103,,Hydrophobicity
SIMZ760101,,Hydrophobicity
SNEP660101,,Alpha and turn propensities
SNEP660102,,Hydrophobicity
SNEP660103,,Physicochemical properties
SNEP660104,,Alpha and turn propensities
SUEM840101,,Alpha and turn propensities
SUEM840102,,Hydrophobicity
SWER830101,,Hydrophobicity
TANS770101,,Alpha and turn propensities
TANS770102,,Alpha and turn propensities
TANS770103,,Beta propensity
TANS770104,,Alpha and turn propensities
TANS770105,,Other properties
TANS770106,,Hydrophobicity
TANS770107,,Other properties
TANS770108,,Hydrophobicity
TANS770109,,Other properties
TANS770110,,Alpha and turn propensities
VASM830101,,Alpha and turn propensities
VASM830102,,Hydrophobicity
VASM830103,,Hydrophobicity
VELV850101,,Hydrophobicity
VENT840101,,Hydrophobicity
VHEG790101,,Hydrophobicity
WARP780101,,Hydrophobicity
WEBA780101,,Physicochemical properties
WERD780101,,Hydrophobicity
WERD780102,,Other properties
WERD780103,,Hydrophobicity
WERD780104,,Hydrophobicity
WOEC730101,,Hydrophobicity
WOLR810101,,Hydrophobicity
WOLS870101,,Hydrophobicity
WOLS870102,,Physicochemical properties
WOLS870103,,Alpha and turn propensities
YUTK870101,,Hydrophobicity
YUTK870102,,Hydrophobicity
YUTK870103,,Hydrophobicity
YUTK870104,,Hydrophobicity
ZASB820101,,Physicochemical properties
ZIMJ680101,,Hydrophobicity
ZIMJ680102,,Physicochemical properties
ZIMJ680103,,Hydrophobicity
ZIMJ680104,,Hydrophobicity
ZIMJ680105,,Hydrophobicity
AURR980101,,Undefined
AURR980102,,Undefined
AURR980103,,Undefined
AURR980104,,Undefined
AURR980105,,Undefined
AURR980106,,Undefined
AURR980107,,Undefined
AURR980108,,Undefined
AURR980109,,Undefined
AURR980110,,Undefined
AURR980111,,Undefined
AURR980112,,Undefined
AURR980113,,Undefined
AURR980114,,Undefined
AURR980115,,Undefined
AURR980116,,Undefined
AURR980117,,Undefined
AURR980118,,Undefined
AURR980119,,Undefined
AURR980120,,Undefined
ONEK900101,,Undefined
ONEK900102,,Undefined
BAEK050101,,Hydrophobicity
BASU050101,,Hydrophobicity
BASU050102,,Hydrophobicity
BASU050103,,Hydrophobicity
MUNV940101,,Undefined
MUNV940102,,Undefined
CASG920101,,Hydrophobicity
MUNV940104,,Undefined
MUNV940105,,Undefined
WIMW960101,,Undefined
KIMC930101,,Undefined
MONM990101,,Undefined
BLAM930101,,Undefined
CEDJ970102,,Undefined
PARS000102,,Undefined
KUMS000101,,Undefined
CEDJ970103,,Undefined
CEDJ970104,,Undefined
CORJ870101,,Hydrophobicity
TAKK010101,,Undefined
FODM020101,,Undefined
CORJ870102,,Hydrophobicity
CORJ870103,,Hydrophobicity
CORJ870107,,Hydrophobicity
CORJ870108,,Hydrophobicity
COWR900101,,Hydrophobicity
NADH010106,,Undefined
NADH010107,,Undefined
MONM990201,,Undefined
KOEP990101,,Undefined
FASG890101,,Hydrophobicity
CEDJ970101,,Undefined
FUKS010109,,Undefined
FUKS010110,,Undefined
FUKS010112,,Undefined
CEDJ970105,,Undefined
FUKS010101,,Undefined
FUKS010102,,Undefined
FUKS010103,,Undefined
FUKS010104,,Undefined
FUKS010105,,Undefined
FUKS010106,,Undefined
FUKS010107,,Undefined
FUKS010108,,Undefined
GEOR030104,1,Alpha propensity
GUYH850102,,Hydrophobicity
FUKS010111,,Undefined
GUYH850103,,Hydrophobicity
AVBF000101,,Undefined
AVBF000102,,Undefined
AVBF000103,,Undefined
AVBF000104,,Undefined
AVBF000105,,Undefined
AVBF000106,,Undefined
AVBF000107,,Undefined
AVBF000108,,Undefined
AVBF000109,,Undefined
YANJ020101,,Undefined
MITS020101,,Undefined
TSAJ990101,,Undefined
TSAJ990102,,Undefined
COSI940101,,Undefined
GUYH850104,,Hydrophobicity
WILM950101,,Undefined
WILM950102,,Undefined
WILM950103,,Undefined
WILM950104,,Undefined
JURD980101,,Hydrophobicity
GUOD860101,,Undefined
KOEP990102,,Hydrophobicity
KUHL950101,,Hydrophobicity
KUMS000102,,Undefined
KUMS000103,,Undefined
SUYM030101,,Undefined
PUNT030101,,Undefined
KUMS000104,,Undefined
GEOR030101,,Undefined
GEOR030102,,Undefined
GEOR030103,,Undefined
MIYS990101,,Hydrophobicity
GEOR030105,,Undefined
GEOR030106,,Undefined
GEOR030107,,Undefined
GEOR030108,,Undefined
GEOR030109,,Undefined
MIYS990102,,Hydrophobicity
MIYS990103,,Hydrophobicity
MIYS990104,,Hydrophobicity
MIYS990105,,Hydrophobicity
HARY940101,,Undefined
PONJ960101,,Undefined
DIGM050101,,Undefined
WOLR790101,,Undefined
OLSK800101,,Undefined
KIDA850101,,Undefined
MUNV940103,-1,Beta propensity
NADH010101,,Hydrophobicity
NADH010102,,Hydrophobicity
GUYH850105,,Undefined
ROSM880104,,Undefined
ROSM880105,,Undefined
JACR890101,,Undefined
NADH010103,,Hydrophobicity
BLAS910101,,Undefined
NADH010104,,Hydrophobicity
NADH010105,,Hydrophobicity
PARS000101,,Hydrophobicity
PONP930101,,Hydrophobicity
CORJ870104,,Undefined
CORJ870105,,Undefined
CORJ870106,,Undefined
PUNT030102,,Hydrophobicity
VINM940101,,Hydrophobicity
VINM940102,,Hydrophobicity
VINM940103,,Hydrophobicity
VINM940104,,Hydrophobicity
ZHOH040101,,Hydrophobicity
ZHOH040102,,Hydrophobicity
ENGD860101,,Undefined
ZHOH040103,,Hydrophobicity
